title,uri,type,representative_latitude,representative_longitude,location_precision,
Tang-i Sarvak,https://pleiades.stoa.org/places/912948,temple,30.976726,50.142065,precise,
Kai Ka'us,https://pleiades.stoa.org/places/912875,temple,30.707126,50.137002,precise,
Bard-i Nishande,https://pleiades.stoa.org/places/912820,temple-2,32.03529052889420,49.33459019371020,precise,
Khayrabad Bala,https://pleiades.stoa.org/places/912882,temple,30.499441,50.465353,precise,
Saint-Michel tumulus,https://pleiades.stoa.org/places/915626351,tumulus,47.58792585929510,-3.0734426398329300,precise,
Brownshill Dolmen,https://pleiades.stoa.org/places/915626352,tomb,52.8375208,-6.8810849,precise,
Grommern,https://pleiades.stoa.org/places/98969,cemetery,52.073142,11.827635,precise,
Juellinge,https://pleiades.stoa.org/places/98990,cemetery,55.305106,12.234436,precise,
Hagenow,https://pleiades.stoa.org/places/98973,cemetery,53.427486,11.196395,precise,
Issendorf,https://pleiades.stoa.org/places/98987,cemetery,53.484683,9.516529,precise,
Hamfelde,https://pleiades.stoa.org/places/98975,cemetery,53.603741,10.453102,precise,
Hemmoor,https://pleiades.stoa.org/places/98979,cemetery,53.689946,9.152517,precise,
Apensen,https://pleiades.stoa.org/places/98914,cemetery,53.433837,9.61449,precise,
Hågerup,https://pleiades.stoa.org/places/98974,cemetery,55.171005,10.357874,precise,
Harpelev,https://pleiades.stoa.org/places/98977,cemetery,55.149949,11.88255,precise,
Årslev,https://pleiades.stoa.org/places/98916,cemetery,55.305281,10.4711821,precise,
Himlingøje,https://pleiades.stoa.org/places/98982,cemetery,55.374375,12.220067,precise,
Hoby,https://pleiades.stoa.org/places/98983,cemetery,54.740603,11.230919,precise,
Liebenau,https://pleiades.stoa.org/places/98999,cemetery,51.498234,9.280805,precise,
Elst,https://pleiades.stoa.org/places/98951,sanctuary,51.91699,5.843141,precise,
Bordesholm,https://pleiades.stoa.org/places/98926,cemetery,54.17339,10.036167,precise,
Gustow,https://pleiades.stoa.org/places/98971,cemetery,54.2972726094616,13.199852072758200,precise,
Bornstein,https://pleiades.stoa.org/places/98927,cemetery,54.416751,9.930574,precise,
Temple of Athena at Assos,https://pleiades.stoa.org/places/989985817,temple-2,39.490759994725800,26.33680826913580,precise,
So-called 'Tomb of Cicero' at Formiae,https://pleiades.stoa.org/places/98979035,tomb,41.2514763,13.5788172,precise,
Deir Apa Jeremiah,https://pleiades.stoa.org/places/989554833,abbey,29.8664033,31.2192031,precise,
Tomb of Marcus Servilius Quartus ,https://pleiades.stoa.org/places/98709290,tomb,41.841589,12.532156,precise,
Mausoleum of Helena,https://pleiades.stoa.org/places/987039111,tomb,41.87888917397080,12.54871318921770,precise,
Antikythera Apollo Sanctuary,https://pleiades.stoa.org/places/987802100,sanctuary,35.88616482508020,23.29587655206920,precise,
Theban Tomb 320,https://pleiades.stoa.org/places/986129163,tomb,25.7368,32.605036,precise,
"Mura Abbandonate, Sanctuary of Fondo Decina",https://pleiades.stoa.org/places/986408803,sanctuary,41.4611485,13.9314012,precise,
Mithraeum of the Seven Spheres,https://pleiades.stoa.org/places/981681540,shrine,41.75577791715900,12.290493747852400,precise,
Roman forum of Iulium Carnicum,https://pleiades.stoa.org/places/98150857,basilica,46.4627525684737,13.024778187638700,precise,
Tumulus of Noville,https://pleiades.stoa.org/places/984823813,tumulus,50.6672253,5.3808074,precise,
Ecclesiasterion (Odeion) at Messene,https://pleiades.stoa.org/places/983069784,odeon,37.17561933733760,21.92113564195710,precise,
Temple of Heracles,https://pleiades.stoa.org/places/983899139,temple-2,37.290189969619300,13.586292394508800,precise,
Naveta des Tudons,https://pleiades.stoa.org/places/983306646,tomb,40.003181,3.891807,precise,
Tholos de El Romeral,https://pleiades.stoa.org/places/983306645,tumulus,37.0344706,-4.5350049,precise,
Dólmenes de Antequera,https://pleiades.stoa.org/places/983306644,cemetery,37.023825600000000,-4.5487034,precise,
S. Passera hypogeum,https://pleiades.stoa.org/places/982679135,tomb,41.8585251,12.4603017,precise,
Sanctuary of Dionysos,https://pleiades.stoa.org/places/982593692,sanctuary,38.09561385,23.9004871,precise,
Metroon at Olympia,https://pleiades.stoa.org/places/98504070,temple-2,37.63881117826490,21.630793083354400,precise,
Tabo,https://pleiades.stoa.org/places/985706528,temple-2,19.484667,30.426722,precise,
"St Peters Church, Flawford",https://pleiades.stoa.org/places/985158684,church-2,52.89346021073770,-1.1195031081192800,precise,
Temple of Jupiter,https://pleiades.stoa.org/places/949315840,temple-2,41.4329867,14.6177482,precise,
Dinkha Tepe,https://pleiades.stoa.org/places/947719521,cemetery,37.006660738417800,45.1669760374747,precise,
So-called Oratory of Phalaris,https://pleiades.stoa.org/places/946753455,temple-2,37.296636173950700,13.58857788526970,precise,
Chatby Necropolis,https://pleiades.stoa.org/places/941771942,cemetery,31.211358,29.917027,precise,
Grotto of the Sibyl,https://pleiades.stoa.org/places/94135344,sanctuary,40.8349539,14.0766539,precise,
Filitosa,https://pleiades.stoa.org/places/94809617,sanctuary,41.7471115,8.87118,precise,
Formello villa and mausoleum,https://pleiades.stoa.org/places/943722594,tomb,42.25230397526190,12.008161638211600,precise,
"Temple of Concordia, Agrigento",https://pleiades.stoa.org/places/943504072,temple,37.28965595669670,13.59207237479490,precise,
François Tomb,https://pleiades.stoa.org/places/942179195,tomb,42.4174591,11.6393258,precise,
Pyramid of Khendjer,https://pleiades.stoa.org/places/945930913,tomb,29.832296550000000,31.2239184,precise,
Basilica,https://pleiades.stoa.org/places/945930915,basilica,40.7487294102377,14.48450735252600,precise,
Mastabet el-Fara'un,https://pleiades.stoa.org/places/945930914,tomb,29.8351588,31.215421,precise,
Metsopay-Vank,https://pleiades.stoa.org/places/945756279,monastery,39.1679,43.0397,precise,
Sanctuaries of Apollo Deiradiotes and Athena Oxyderkes,https://pleiades.stoa.org/places/939076786,sanctuary,37.64184417962580,22.72061612907600,precise,
Cloghanmore,https://pleiades.stoa.org/places/930092846,tomb,54.6891768,-8.7466707,precise,
'Awām,https://pleiades.stoa.org/places/93794091,cemetery,15.40424209746460,45.35598723300710,precise,
Bab el-Gasous,https://pleiades.stoa.org/places/937942844,tomb,25.73788642687270,32.60863576879370,precise,
Pandroseion,https://pleiades.stoa.org/places/936968680,shrine,37.9720591,23.7262584,precise,
Adro Vello,https://pleiades.stoa.org/places/93604430,cemetery,42.4775873,-8.9313708,precise,
Necropolis of Pantalica,https://pleiades.stoa.org/places/934642205,cemetery,37.133333,14.983333,precise,
San Giorgio in Velabro,https://pleiades.stoa.org/places/934591703,church-2,41.88960884815280,12.483162443671100,precise,
Santa Maria in Cosmedin,https://pleiades.stoa.org/places/934591702,church-2,41.888084333231300,12.481716544552300,precise,
Paradimi Neolithic Tomb,https://pleiades.stoa.org/places/934539043,tomb,41.0780634,25.346265,precise,
Maleme tholos tomb,https://pleiades.stoa.org/places/934557837,tomb,35.5234729,23.8325965,precise,
S. Pietro ad centum muros,https://pleiades.stoa.org/places/933683601,church-2,42.37043906443390,12.59174654164270,precise,
Karranah,https://pleiades.stoa.org/places/932467,cemetery,26.231013,50.51098,precise,
Abu Saybi,https://pleiades.stoa.org/places/932427,cemetery,26.217045,50.504143,precise,
al-Hajjar,https://pleiades.stoa.org/places/932429,cemetery,26.2151,50.5137,precise,
Janussan,https://pleiades.stoa.org/places/932463,cemetery,26.225662,50.495369,precise,
Hiera Oikia at Eleusis,https://pleiades.stoa.org/places/935032928,sanctuary,38.040041455772100,23.538218552574900,precise,
"Sanctuary of Kodros, Neleus and Basile at Athens",https://pleiades.stoa.org/places/935764097,sanctuary,37.967689,23.729282,precise,
Santa Maria in Portuno,https://pleiades.stoa.org/places/935472409,church-2,43.6671036,13.0383012,precise,
Beit She’arim,https://pleiades.stoa.org/places/929943122,cemetery,32.7037666,35.1292388,precise,
Dörpfeld foundations,https://pleiades.stoa.org/places/929024657,temple-2,37.9719174799216,23.726348727011200,precise,
Bluebeard temple,https://pleiades.stoa.org/places/929024658,temple-2,,,rough,
Apesokari Tholos tomb A,https://pleiades.stoa.org/places/92986629,tomb,35.004252,24.946611,precise,
Kapilikaya Rock Tomb,https://pleiades.stoa.org/places/920893074,tomb,40.7565548,34.9104274,precise,
Monastery of San Juan de Caaveiro,https://pleiades.stoa.org/places/920519832,monastery,43.4176882,-8.0689797,precise,
Basilica Damasiana,https://pleiades.stoa.org/places/927235842,basilica,41.8360308,12.4327839,precise,
Amaghu Noravank,https://pleiades.stoa.org/places/927235844,abbey,39.68485576152700,45.23311283735710,precise,
Salve necropolis,https://pleiades.stoa.org/places/9269628,cemetery,39.8467611,18.2339541,precise,
Kecharis,https://pleiades.stoa.org/places/92641217,abbey,40.533956100000000,44.716260550000000,precise,
Temple of Sîn and Šamaš at Assur,https://pleiades.stoa.org/places/921404713,temple-2,35.45805976633070,43.25967534939310,precise,
Bronze Age Barrow at Old Winchester Hill,https://pleiades.stoa.org/places/928877230,tomb,50.9804579,-1.085707,precise,
Chiesa di Sant'Ilario a Port' Aurea,https://pleiades.stoa.org/places/924430433,church,41.1330164,14.7794907,precise,
Mithraeum at Casa del Mitreo in Emerita Augusta,https://pleiades.stoa.org/places/923612907,shrine,38.911117,-6.341083,precise,
Basilica di Santo Stefano in via Latina,https://pleiades.stoa.org/places/922015288,church-2,41.8616748,12.5373529,precise,
Qanat-i Bagh,https://pleiades.stoa.org/places/922705,temple,29.066671,51.900013,precise,
Taq-i Gunbad,https://pleiades.stoa.org/places/922732,temple,28.963783,52.002416,precise,
Tal-i Hakavan,https://pleiades.stoa.org/places/922728,temple,29.158311,52.678677,precise,
Qadamgah,https://pleiades.stoa.org/places/922703,temple,29.688297,53.131556,precise,
Tang-i Qandil,https://pleiades.stoa.org/places/922730,temple,29.848585,51.577081,precise,
