Object ID,Name,place type,Analysis,Information,Entity type,Pleiades,[Location] Long,[Location] Lat,In - Object ID,In - Name,Pleiades,In - [Location] Geometry,Near - Object ID,Near - Name,Pleiades,Near - [Location] Geometry,Alt. name for - Object ID,Name,Pleiades,Alt. name for - [Location] Geometry
11288872,🏛️ the Altar of Melicertes near Crommyon (Argolid),altar,2,,Landmark,,23.116657,37.95001,,,,,8188810,🌍 Crommyon (Argolid) city in the Argolid,570386,"23.116657, 37.95001",,,,
11066653,🏛️ the Altar of Zeus Meilichios near the Cephisos (Attica),altar,2,,Landmark,,23.742426939699,38.044460269826,10161356,🌍 River Cephisos (Attica) river in Attica,579974,"23.742426939699, 38.044460269826",,,,,,,,
11066636,🏛️ the Altar of Amphiaraos at Oropos,altar,-,,Landmark,,23.845961998678998,38.291136341897,10159724,🌍 the Sanctuary of Amphiaraos near Oropos (Boiotia) near Oropos on the Boiotia-Attica border,540628,"23.845961998678998, 38.291136341897",,,,,,,,
10863022,🏛️ the Altar of Zeus Polieus in Athens,altar,1,,Landmark,,23.726166,37.971421,8188821,🌍 the Acropolis of Athens,638356144,"23.726166, 37.971421",,,,,,,,
10267642,🏛️ the Altar of Zeus Areios at Olympia,altar,2,,Landmark,,21.630874780357,37.638689420584,9605463,🌍 Olympia (Elis) home of the Olympic Games,570531,"21.630874780357, 37.638689420584",,,,,,,,
10267111,🏛️ the Ash Altar of Zeus at Olympia ,altar,5,,Landmark,,,,10217933,🌍 the Sanctuary of Zeus at Olympia,,,,,,,,,,
10266970,🏛️ the Altar of Athena Alea at Tegea,altar,1,,Landmark,,,,9614063,🌍 the Sanctuary of Athena Alea at Tegea,,,,,,,,,,
10215696,🏛️ the Altar of Idaian Heracles and the Dactyloi at Olympia ,altar,3,,Landmark,,21.630874780357,37.638689420584,9605463,🌍 Olympia (Elis) home of the Olympic Games,570531,"21.630874780357, 37.638689420584",,,,,,,,
10214838,🏛️ the Altar of the Themides at Troizen ,altar,2,,Landmark,,23.362444,37.496395,8254016,🌍 Troizen (Argolid) city in the Argolid,570756,"23.362444, 37.496395",,,,,,,,
10214816,🏛️ the Altar of the Muses and Hypnos at Troizen ,altar,2,,Landmark,,23.362444,37.496395,8254016,🌍 Troizen (Argolid) city in the Argolid,570756,"23.362444, 37.496395",,,,,,,,
10185280,🏛️ the Altar of Zeus Hyetios at Argos,altar,2,,Landmark,,22.719464,37.631561,8228853,🌍 Argos (city) city in the Peloponnese,570106,"22.719464, 37.631561",,,,,,,,
10769984,🏛️ the Altar of Ge at Tegea,altar,-,,Landmark,,22.420672,37.455301,8254025,🌍 Tegea (Arcadia) city in Arcadia,570707,"22.420672, 37.455301",,,,,,,,
10267661,"🏛️ the Ash Altar of Hera at Olympia  at Olympia, in the Sanctuary of Olympian Zeus",altar,2,"at Olympia, in the Sanctuary of Olympian Zeus",Landmark,,,,10217933,🌍 the Sanctuary of Zeus at Olympia,,,,,,,,,,
10267657,"🏛️ the Altar of Zeus Hercios at Olympia  at Olympia, built by Oinomaos",altar,1,"at Olympia, built by Oinomaos",Landmark,,21.630874780357,37.638689420584,9605463,🌍 Olympia (Elis) home of the Olympic Games,570531,"21.630874780357, 37.638689420584",,,,,,,,
10187064,🏛️ the Altar of the Prodomeis at Megara cult site for gods that built first wall at Megara,altar,3,cult site for gods that built first wall at Megara,Landmark,,,,10187048,🌍 the Citadel of Alcathoos (Megara) a citadel of Megara,,,,,,,,,,
10159231,"🏛️ the Altar of Helios in Sicyon at Sicyon, near the Sanctuary of Hera, built by Adrastos",altar,2,"at Sicyon, near the Sanctuary of Hera, built by Adrastos",Landmark,,22.712193310834,37.983819217861,8194532,🌍 Sicyon (Argolid) city in the Argolid,570668,"22.712193310834, 37.983819217861",10159228,🌍 the Sanctuary of Hera at Sicyon established by Adrastos,,,,,,
10159230,"🏛️ the Altar of Pan at Sicyon at Sicyon, near the Sanctuary of Hera, built by Adrastos",altar,2,"at Sicyon, near the Sanctuary of Hera, built by Adrastos",Landmark,,22.712193310834,37.983819217861,8194532,🌍 Sicyon (Argolid) city in the Argolid,570668,"22.712193310834, 37.983819217861",10159228,🌍 the Sanctuary of Hera at Sicyon established by Adrastos,,,,,,
10159024,"🏛️ the Altar of Athena at Sicyon at Sicyon, built by Epopeus",altar,2,"at Sicyon, built by Epopeus",Landmark,,,,10158505,🏛️ the Temple of Athena at Sicyon built by Epopeus,,,,,,,,,,
10157587,🏛️ the Altar of Athena Areia at Athens,altar,2,,Landmark,,23.723371987661,37.972372105112,8190499,🌍 the Areiopagos (Athens) at Athens,969121823,"23.723371987661, 37.972372105112",,,,,,,,
10124905,🏛️ the Altar of Apollo at Delphi at Delphi,altar,2,at Delphi,Landmark,,22.501169,38.482289,8253972,"🌍 Delphi (Phocis) city and sanctuary in Phocis; for prophecies see ""the Oracle of Apollo (Delphi)""",540726,"22.501169, 38.482289",,,,,,,,
9613804,🏛️ the Altar of Pity at Athens in the Agora of Athens,altar,2,in the Agora of Athens,Landmark,,23.7225,37.975,10084801,🌍 the Agora of Athens (Athens) at Athens,807514119,"23.7225, 37.975",,,,,,,,
8254102,🏛️ the Altar of Zeus Hercios at Troy in the Citadel of Troy,altar,12,in the Citadel of Troy,Landmark,,,,8195108,🌍 the Citadel of Troy at Troy,,,,,,,,,,
9619456,"🏛️ the Rock of Theseus near Troizen where Theseus recovers the Sword and Sandals of Aigeus, near Troizen",rock,13,"where Theseus recovers the Sword and Sandals of Aigeus, near Troizen",Landmark,,23.362444,37.496395,,,,,8254016,🌍 Troizen (Argolid) city in the Argolid,570756,"23.362444, 37.496395",,,,
9587624,🌍 the Sanctuary of Hera Acraia near Corinth (Argolid),sanctuary,5,,Place,570288,22.852820247917,38.028112606404,,,,,11321834,🌍 Peiraion (Argolid) city in the Argolid,570571,"22.9489948, 38.0301892",,,,
10146676,🌍 the Sanctuary of Aphrodite Migonitis near Gytheion (Laconia) unlocatable sanctuary of Aphrodite,sanctuary,3,unlocatable sanctuary of Aphrodite,Place,573377,22.5626005,36.7600725,,,,,10055299,🌍 Gytheion (Laconia) harbor in Laconia,570268,"22.5626005, 36.7600725",,,,
10774929,🌍 the Sanctuary of Heracles Hippodetos on the Teneric Plain (Boiotia),sanctuary,1,,Place,,23.25,38.25,,,,,10214791,🌍 the Teneric Plain (Boiotia),541132,"23.25, 38.25",,,,
10214963,🌍 the Sanctuary of Clymenos at Hermion (Argolid),sanctuary,3,,Place,,23.243591,37.385218,9055302,"🌍 Hermion (Argolid) city in southern Argolid encompassing also ""Old Hermion"",a Mycenaean city in ruins in the historical period",570292,"23.243591, 37.385218",,,,,,,,
10158885,🌍 the Sanctuary of Asclepios at Epidauros,sanctuary,1,,Place,,23.16015635,37.6334625,8188816,🌍 Epidauros (Argolid) city in the Argolid,570228,"23.16015635, 37.6334625",,,,,,,,
10151068,🌍 the Sanctuary of Poseidon at Mantineia,sanctuary,1,,Place,,22.3925775,37.6173785,9364225,🌍 Mantineia (Arcadia) city in Arcadia,570459,"22.3925775, 37.6173785",,,,,,,,
10150364,🌍 the Sanctuary of Artemis Anaiitis (Lydia),sanctuary,1,,Place,550456,28.563504,38.495984,8254019,"🌍 Lydia (Asia Minor) Maionia, region in Asia Minor",550701,"27.922124025, 38.2419844",,,,,,,,
10769879,🌍 the Sanctuary of Pan in the Nomian Mountains (Arcadia),sanctuary,2,,Place,570476,21.963136,37.43148,10214927,🌍 the Nomian Mountains (Arcadia/Messenia) mountain range in Arcadia and Messenia,570509,"21.965818630013, 37.415872313676",,,,,,,,
10055555,🌍 the Sanctuary of Apollo Ptoios (Boiotia) near Mt Ptoion,sanctuary,10,near Mt Ptoion,Place,541078,23.25097385,38.45933885,,,,,10774298,🌍 Mount Ptoion (Boiotia),,,,,,
